ZipCode,MedEnrollment,MedGraduation,Forclosure2023,Income_<25k,Income_>25K_<50K,Income_>50K_<100K,Income_>100K,Population,Foreclosure_rate,DrugCrimes,Other,PropertyCrimes,ViolentCrimes,IncomeScore,NeighborhoodScore,Rank
60601,0.5585760517799354,0.6381798002219756,0.14012738853503187,0.107,0.092,0.187,0.613,12994.0,18.470063106048947,0.06802721088435375,0.14376996805111822,0.24128965158606347,0.12062256809338522,0.9599570968895245,-3.344958508584483,53.0
60602,0.4744336569579289,0.9378468368479471,0.14012738853503187,0.107,0.092,0.187,0.613,1358.0,176.73048600883652,0.0045351473922902496,0.038338658146964855,0.2418096723868955,0.0311284046692607,0.9599570968895245,-34.91316546043254,61.0
60603,0.5585760517799354,0.6381798002219756,0.14012738853503187,0.107,0.092,0.187,0.613,693.0,346.32034632034635,0.0045351473922902496,0.0,0.06136245449817994,0.0038910505836575876,0.9599570968895245,-68.8419055512743,63.0
60604,0.5585760517799354,0.6381798002219756,0.14012738853503187,0.107,0.092,0.187,0.613,787.0,304.9555273189327,0.020408163265306124,0.022364217252396165,0.0,0.010376134889753565,0.9599570968895245,-60.56610626406376,62.0
60605,1.0,1.0000000000000002,,,,,,,6.763615526007436,0.05668934240362812,0.25559105431309903,0.38637545501820075,0.19714656290531773,0.6950303897032529,-0.9424200447496378,22.0
60606,0.5585760517799354,0.6381798002219756,0.14012738853503187,0.107,0.092,0.187,0.613,3227.0,74.37248218159282,0.022675736961451247,0.006389776357827476,0.08164326573062923,0.005836575875486381,0.9599570968895245,-14.457453106971252,60.0
60607,1.0,0.9422863485016653,0.19745222929936307,0.179,0.112,0.181,0.528,22759.0,14.499758337361042,0.031746031746031744,0.23961661341853033,0.623504940197608,0.25616083009079116,0.814086521272792,-2.5235170784499665,49.0
60608,0.23624595469255666,0.8335183129855717,0.08280254777070065,0.184,0.1735,0.3045,0.33799999999999997,54836.0,2.7354292800350133,0.07029478458049887,0.45047923322683703,0.5907436297451899,0.559662775616083,0.6950303897032529,-0.48144198702063323,7.0
60609,0.44271844660194176,0.6381798002219756,0.08492569002123143,0.3893333333333333,0.214,0.19166666666666665,0.20099999999999998,50169.0,3.0563362501411895,0.09297052154195011,0.5878594249201278,0.545501820072803,0.7178988326848249,0.3162912644500059,-0.6754869925236772,13.0
60610,0.9475728155339807,0.8812430632630408,0.3184713375796179,0.123,0.09,0.199,0.588,38935.0,13.35559265442404,0.02947845804988662,0.24920127795527156,0.34737389495579823,0.2094682230869001,0.9313550232391844,-2.2445069800963244,46.0
60611,0.5585760517799354,0.6381798002219756,0.3184713375796179,0.123,0.09,0.199,0.588,34501.0,15.072026897771078,0.045351473922902494,0.20447284345047922,0.5267810712428498,0.25486381322957197,0.9313550232391844,-2.751868600381293,51.0
